town,year,month,PM2.5
高雄市岡山區,2016,1,1050.0
高雄市左營區,2016,1,1185.0
高雄市彌陀區,2016,1,1080.0
高雄市旗山區,2016,1,951.82
高雄市旗津區,2016,1,1140.0
高雄市杉林區,2016,1,951.0
高雄市林園區,2016,1,1050.0
高雄市桃源區,2016,1,930.0
高雄市梓官區,2016,1,1050.0
高雄市楠梓區,2016,1,1035.0
高雄市橋頭區,2016,1,1050.0
高雄市永安區,2016,1,1080.0
高雄市湖內區,2016,1,1050.0
高雄市燕巢區,2016,1,1032.86
高雄市田寮區,2016,1,1027.5
高雄市甲仙區,2016,1,960.0
高雄市美濃區,2016,1,915.0
高雄市苓雅區,2016,1,1170.0
高雄市茂林區,2016,1,960.0
高雄市茄萣區,2016,1,1050.0
高雄市路竹區,2016,1,1050.0
高雄市阿蓮區,2016,1,1050.0
高雄市鳥松區,2016,1,1100.0
高雄市鳳山區,2016,1,1110.0
高雄市鼓山區,2016,1,1200.0
南投縣中寮鄉,2016,2,967.5
南投縣仁愛鄉,2016,2,855.0
南投縣信義鄉,2016,2,915.0
南投縣南投市,2016,2,1007.14
南投縣名間鄉,2016,2,997.5
南投縣國姓鄉,2016,2,840.0
南投縣埔里鎮,2016,2,867.86
南投縣水里鄉,2016,2,925.0
南投縣竹山鎮,2016,2,990.0
南投縣草屯鎮,2016,2,918.75
南投縣集集鎮,2016,2,960.0
南投縣魚池鄉,2016,2,882.86
南投縣鹿谷鄉,2016,2,978.0
嘉義市東區,2016,2,1110.0
嘉義市西區,2016,2,1117.5
嘉義縣中埔鄉,2016,2,1089.0
嘉義縣六腳鄉,2016,2,1010.0
嘉義縣大埔鄉,2016,2,1072.0
嘉義縣大林鎮,2016,2,1035.0
嘉義縣太保市,2016,2,1045.71
嘉義縣布袋鎮,2016,2,1045.0
嘉義縣新港鄉,2016,2,995.0
嘉義縣朴子市,2016,2,1020.0
嘉義縣東石鄉,2016,2,1020.0
嘉義縣梅山鄉,2016,2,1035.0
嘉義縣民雄鄉,2016,2,1050.0
嘉義縣水上鄉,2016,2,1104.0
嘉義縣溪口鄉,2016,2,1005.0
嘉義縣番路鄉,2016,2,1061.25
嘉義縣竹崎鄉,2016,2,1072.5
