ID1_CITY,year,week,case_c
0733,2016,5,22
0733,2016,6,15
0733,2016,7,3
0733,2016,8,16
0733,2016,9,16
0733,2016,10,13
0733,2016,11,15
0733,2016,12,12
0733,2016,13,14
0733,2016,14,9
0733,2016,15,10
0733,2016,16,14
0733,2016,17,8
0733,2016,18,11
0733,2016,19,9
0733,2016,20,3
0733,2016,21,12
0733,2016,22,4
0733,2016,23,9
0733,2016,24,6
0733,2016,25,11
0733,2016,26,11
0733,2016,27,7
0733,2016,28,8
0733,2016,29,3
0733,2016,30,9
0733,2016,31,5
0733,2016,32,12
0733,2016,33,13
0733,2016,34,14
0733,2016,35,7
0733,2016,36,8
0733,2016,37,5
0733,2016,38,8
0733,2016,39,5
0733,2016,40,9
0733,2016,41,3
0733,2016,42,18
0733,2016,43,13
0733,2016,44,16
0733,2016,45,5
0733,2016,46,19
0733,2016,47,11
0733,2016,48,8
0733,2016,49,17
0733,2016,50,10
0733,2016,51,5
0733,2016,52,7
0733,2016,53,8
0733,2017,1,15
0733,2017,2,8
0733,2017,3,9
0733,2017,4,12
0733,2017,5,12
0733,2017,6,12
0733,2017,7,11
0733,2017,8,15
0733,2017,9,12
0733,2017,10,13
0733,2017,11,7
0733,2017,12,9
0733,2017,13,7
0733,2017,14,15
0733,2017,15,11
0733,2017,16,8
0733,2017,17,8
0733,2017,18,13
0733,2017,19,7
0733,2017,20,14
0733,2017,21,6
0733,2017,22,12
0733,2017,23,14
0733,2017,24,21
0733,2017,25,9
0733,2017,26,8
0733,2017,27,12
0733,2017,28,8
0733,2017,29,14
0733,2017,30,8
0733,2017,31,10
0733,2017,32,15
0733,2017,33,8
0733,2017,34,9
0733,2017,35,12
0733,2017,36,18
0733,2017,37,10
0733,2017,38,16
0733,2017,39,12
0733,2017,40,11
0733,2017,41,14
0733,2017,42,10
0733,2017,43,7
0733,2017,44,10
0733,2017,45,3
0733,2017,46,10
0733,2017,47,12
0733,2017,48,12
0733,2017,49,25
0733,2017,50,12
0733,2017,51,14
0733,2017,52,6
0733,2017,53,6
0733,2018,1,5
0733,2018,2,13
0733,2018,3,12
0733,2018,4,8
0733,2018,5,15
0733,2018,6,8
0733,2018,7,13
0733,2018,8,10
0733,2018,9,18
0733,2018,10,12
0733,2018,11,18
0733,2018,12,20
0733,2018,13,15
0733,2018,14,12
0733,2018,15,13
0733,2018,16,14
0733,2018,17,11
0733,2018,18,14
0733,2018,19,14
0733,2018,20,16
