ID1_CITY,C_NAME,year,total_pop
3126,新北市貢寮區,2016,862
3127,新北市金山區,2016,1789
3128,新北市萬里區,2016,1280
3129,新北市烏來區,2016,209
3201,桃園縣桃園市,2016,36704
3202,桃園縣中壢市,2016,25354
3203,桃園縣大溪鎮,2016,4470
3204,桃園縣楊梅鎮,2016,8551
3205,桃園縣蘆竹鄉,2016,13067
3206,桃園縣大園鄉,2016,8324
3207,桃園縣龜山鄉,2016,16102
3208,桃園縣八德市,2016,8555
3209,桃園縣龍潭鄉,2016,7020
3210,桃園縣平鎮市,2016,12160
3211,桃園縣新屋鄉,2016,3303
3212,桃園縣觀音鄉,2016,5213
3213,桃園縣復興鄉,2016,538
3301,新竹縣關西鎮,2016,1274
3302,新竹縣新埔鎮,2016,1785
3303,新竹縣竹東鎮,2016,4844
3305,新竹縣竹北市,2016,13988
3306,新竹縣湖口鄉,2016,7740
3307,新竹縣橫山鄉,2016,630
3308,新竹縣新豐鄉,2016,2063
3309,新竹縣芎林鄉,2016,1061
3310,新竹縣寶山鄉,2016,1624
3311,新竹縣北埔鄉,2016,360
3312,新竹縣峨眉鄉,2016,267
3313,新竹縣尖石鄉,2016,344
3314,新竹縣五峰鄉,2016,140
3401,宜蘭縣宜蘭市,2016,9748
3402,宜蘭縣羅東鎮,2016,4255
3403,宜蘭縣蘇澳鎮,2016,3644
3404,宜蘭縣頭城鎮,2016,1966
3405,宜蘭縣礁溪鄉,2016,1848
3406,宜蘭縣壯圍鄉,2016,716
3407,宜蘭縣員山鄉,2016,1430
3408,宜蘭縣冬山鄉,2016,2191
3409,宜蘭縣五結鄉,2016,2357
3410,宜蘭縣三星鄉,2016,1056
3411,宜蘭縣大同鄉,2016,165
3412,宜蘭縣南澳鄉,2016,201
3501,苗栗縣苗栗市,2016,7663
3502,苗栗縣苑裡鎮,2016,2651
3503,苗栗縣通霄鎮,2016,2152
3504,苗栗縣竹南鎮,2016,6145
3505,苗栗縣頭份鎮,2016,4154
3506,苗栗縣後龍鎮,2016,2310
3507,苗栗縣卓蘭鎮,2016,989
3508,苗栗縣大湖鄉,2016,1005
3509,苗栗縣公館鄉,2016,1333
3510,苗栗縣銅鑼鄉,2016,1311
3511,苗栗縣南庄鄉,2016,485
3512,苗栗縣頭屋鄉,2016,417
3513,苗栗縣三義鄉,2016,1011
3514,苗栗縣西湖鄉,2016,426
3515,苗栗縣造橋鄉,2016,750
3516,苗栗縣三灣鄉,2016,323
3517,苗栗縣獅潭鄉,2016,229
3518,苗栗縣泰安鄉,2016,196
3701,彰化縣彰化市,2016,21162
3702,彰化縣鹿港鎮,2016,8523
3703,彰化縣和美鎮,2016,4760
3704,彰化縣北斗鎮,2016,1767
3705,彰化縣員林鎮,2016,6574
3706,彰化縣溪湖鎮,2016,2765
